,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
57,Pearson_gt0.20,5,SVR_Linear,0.665,0.6249,0.503,0.0003,"{'model__epsilon': 0.5, 'model__C': 10.0}","score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.3
58,Pearson_gt0.15,2,CatBoost,0.6716,0.6251,0.5059,-0.0005,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","score_velocity, Feat_Strategic_Growth",3.5
59,RF_Importance_p80,16,SVR_Linear,0.6818,0.6252,0.4997,-0.0009,"{'model__epsilon': 0.5, 'model__C': 1.0}","score_velocity, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity",0.7
60,RF_Importance_p80,16,RandomForest,0.6662,0.6253,0.5028,-0.001,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","score_velocity, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity",5.6
61,MutualInfo_p80,16,SVR_RBF,0.6718,0.6253,0.5034,-0.001,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_cowardice_penalty",1.4
62,MutualInfo_p80,16,Lasso,0.6724,0.6255,0.5056,-0.0019,{'model__alpha': 1.0},"struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_cowardice_penalty",0.3
63,MutualInfo_p70,24,Lasso,0.6724,0.6255,0.5056,-0.0019,{'model__alpha': 1.0},"struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Dur_squared, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_score_per_hint, inter_cowardice_penalty, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",0.4
64,RF_Importance_med,40,Lasso,0.6724,0.6255,0.5056,-0.0019,{'model__alpha': 1.0},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Ego_Death",0.6
65,RF_Importance_med,40,ElasticNet,0.6724,0.6255,0.5056,-0.0019,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Ego_Death",0.9
66,MutualInfo_p70,24,ElasticNet,0.6724,0.6255,0.5056,-0.0019,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}","struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Dur_squared, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_score_per_hint, inter_cowardice_penalty, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",0.6
67,MutualInfo_p80,16,ElasticNet,0.6724,0.6255,0.5056,-0.0019,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}","struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_cowardice_penalty",0.5
68,Kendall_gt0.15,5,PLSRegression,0.6722,0.626,0.5029,-0.0034,{'model__n_components': 3},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.2
69,Spearman_gt0.20,5,PLSRegression,0.6722,0.626,0.5029,-0.0034,{'model__n_components': 3},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.2
