,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
18,RFE_Ridge_Top20,20,PLSRegression,0.8317,0.8848,0.7442,0.0139,{'model__n_components': 2},"humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",0.3
19,Pearson_gt0.20,6,PLSRegression,0.8242,0.8848,0.7433,0.0138,{'model__n_components': 2},"sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",0.2
20,RFE_Ridge_Top20,20,Ridge,0.8284,0.885,0.7485,0.0134,{'model__alpha': 100.0},"humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",0.4
21,MutualInfo_p70,24,PLSRegression,0.8309,0.885,0.7463,0.0135,{'model__n_components': 2},"humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_end_vs_start, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.5
22,Lasso_NonZero,33,ElasticNet,0.8285,0.8853,0.7436,0.0128,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, impulsive_help_ratio, delayed_gratification_hint, tuas_dominance, star_efficiency, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Adaptability_Log, ratio_struggle_time, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.0
23,Lasso_NonZero,33,Ridge,0.8265,0.8853,0.7437,0.0128,{'model__alpha': 500.0},"sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, impulsive_help_ratio, delayed_gratification_hint, tuas_dominance, star_efficiency, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Adaptability_Log, ratio_struggle_time, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.6
24,Kendall_gt0.15,2,HuberRegressor,0.8239,0.8855,0.742,0.0123,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, inter_exploratory_brilliance",0.2
25,RF_Importance_p80,16,ElasticNet,0.8271,0.8856,0.7423,0.012,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",0.5
26,Pearson_gt0.20,6,Lasso,0.8255,0.8858,0.7446,0.0117,{'model__alpha': 0.01},"sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",8.5
27,Pearson_gt0.20,6,ElasticNet,0.8254,0.8858,0.7448,0.0116,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",0.3
