,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
119,RF_Importance_med,16,SVR_Linear,0.6007,0.5832,0.4523,0.0133,"{'model__epsilon': 0.1, 'model__C': 10.0}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.5
120,RF_Importance_med,16,RandomForest,0.6007,0.5832,0.449,0.0132,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",4.8
121,Kendall_gt0.15,3,RandomForest,0.6062,0.5835,0.4557,0.0122,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",8.0
122,RFE_Ridge_Top20,20,RandomForest,0.6025,0.5852,0.45,0.0066,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",8.3
123,MutualInfo_p80,7,KNN_Regressor,0.6309,0.5857,0.455,0.0048,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.3
124,RF_Importance_p80,7,XGBoost,0.6192,0.5864,0.454,0.0023,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",3.9
125,RFE_Ridge_Top20,20,SVR_Linear,0.598,0.5867,0.4538,0.0013,"{'model__epsilon': 0.5, 'model__C': 1.0}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",1.2
126,RFE_Ridge_Top20,20,KNN_Regressor,0.6108,0.5867,0.4564,0.0012,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",1.3
127,Kendall_gt0.10,5,XGBoost,0.6307,0.5868,0.4674,0.0012,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",1.8
128,Spearman_gt0.15,5,XGBoost,0.6307,0.5868,0.4674,0.0012,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",1.8
