,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
54,RF_Importance_p80,16,Ridge,0.6956,0.6907,0.5447,0.0309,{'model__alpha': 100.0},"sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",0.3
55,RF_Importance_p80,16,HuberRegressor,0.7,0.6909,0.5463,0.0304,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",0.7
56,RF_Importance_p80,16,Lasso,0.6926,0.691,0.5441,0.03,{'model__alpha': 0.01},"sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",0.3
57,Spearman_gt0.20,16,ElasticNet,0.6957,0.6911,0.5489,0.0297,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, struggle_ratio, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.5
58,Pearson_gt0.15,15,PLSRegression,0.6959,0.6913,0.5474,0.0292,{'model__n_components': 2},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.2
59,RF_Importance_p80,16,ElasticNet,0.6937,0.6916,0.5435,0.0285,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",0.5
60,Pearson_gt0.20,10,SVR_Linear,0.6958,0.6917,0.5453,0.028,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.4
61,RF_Importance_p80,16,RandomForest,0.6958,0.6918,0.5397,0.0279,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",5.8
62,Kendall_gt0.15,17,Ridge,0.6972,0.6919,0.5492,0.0276,{'model__alpha': 500.0},"sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
63,MutualInfo_p80,16,HuberRegressor,0.6989,0.6919,0.5525,0.0276,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, score_velocity, boldness_score, hard_challenge_efficiency, stubbornness_index, adaptive_learning_capacity, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity",1.2
64,RF_Importance_med,40,PLSRegression,0.6965,0.6921,0.5443,0.0269,{'model__n_components': 2},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.7
65,Spearman_gt0.15,22,SVR_Linear,0.7047,0.6921,0.546,0.027,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.0
66,Kendall_gt0.10,24,PLSRegression,0.6982,0.6923,0.5484,0.0266,{'model__n_components': 3},"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
67,Pearson_gt0.20,10,PLSRegression,0.6935,0.6924,0.5496,0.0261,{'model__n_components': 2},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.2
68,Pearson_gt0.15,15,SVR_RBF,0.6986,0.6924,0.5559,0.0261,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",1.1
