,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
35,Spearman_gt0.20,8,HuberRegressor,0.6299,0.64,0.5198,0.1294,0.3751,2.8548927155555248e-06,***,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
36,MutualInfo_p80,16,Lasso,0.6275,0.6415,0.5175,0.1251,0.3716,3.5897532423940735e-06,***,{'model__alpha': 0.01},"sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
37,Kendall_gt0.15,7,CatBoost,0.6317,0.6412,0.5158,0.1261,0.3715,3.6070125089527397e-06,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",3.3
38,Pearson_gt0.15,11,PLSRegression,0.6284,0.6413,0.5103,0.1259,0.3691,4.213580356070385e-06,***,{'model__n_components': 2},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.2
39,Kendall_gt0.15,7,MLP_Regressor,0.6449,0.6404,0.5232,0.1281,0.365,5.4767372333968556e-06,***,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",7.9
40,MutualInfo_p80,16,ElasticNet,0.6276,0.6423,0.5183,0.1231,0.365,5.466124368008169e-06,***,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
41,Spearman_gt0.15,15,Lasso,0.6299,0.6428,0.5172,0.1217,0.3635,6.015812858298931e-06,***,{'model__alpha': 0.01},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
42,Spearman_gt0.15,15,CatBoost,0.6253,0.6435,0.5159,0.1198,0.3629,6.248472525769413e-06,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",5.1
43,Spearman_gt0.15,15,ElasticNet,0.6297,0.6433,0.5182,0.1204,0.3583,8.373282918567393e-06,***,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
44,Kendall_gt0.15,7,PLSRegression,0.632,0.644,0.5193,0.1183,0.3581,8.483730182740742e-06,***,{'model__n_components': 3},"sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.1
45,MutualInfo_p70,24,CatBoost,0.6255,0.6447,0.5221,0.1164,0.3543,1.0666042240354543e-05,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, learning_adaptability, hyper_curiosity_index, adaptive_learning_capacity, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",6.3
