,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
114,Kendall_gt0.15,16,SVR_Linear,1.0233,1.0894,0.8713,0.0279,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, struggle_ratio, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.1
115,Spearman_gt0.30,6,XGBoost,1.0558,1.0895,0.88,0.0279,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","sum_weighted_score, Psych_Calculated_Risk, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",5.5
116,RF_Importance_p90,8,MLP_Regressor,1.0219,1.0895,0.8581,0.0278,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",16.8
117,RF_Importance_p80,16,HuberRegressor,1.0278,1.0895,0.8622,0.0279,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.9
118,RFE_Ridge_Top20,20,ElasticNet,1.0166,1.0897,0.8714,0.0274,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, struggle_ratio, apathy_speed, hint_reading_duration, impulsive_help_ratio, star_efficiency, exploration_efficiency, ratio_hint_time, ratio_redo_success, PCA_Hints, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.7
119,Pearson_gt0.20,10,HuberRegressor,1.0202,1.09,0.8747,0.0269,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, struggle_ratio, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.5
120,MutualInfo_p70,24,HuberRegressor,1.0313,1.0902,0.8708,0.0265,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, exploration_efficiency, frustration_breakdown_ratio, stubborn_failure_magnitude, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",2.3
121,Spearman_gt0.20,16,SVR_Linear,1.021,1.0906,0.876,0.0258,"{'model__epsilon': 0.5, 'model__C': 10.0}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.8
122,RFE_Ridge_Top30,30,Ridge,1.014,1.091,0.8762,0.0251,{'model__alpha': 100.0},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, hint_reading_duration, engagement_persistence, impulsive_help_ratio, carefulness_index, star_efficiency, exploration_efficiency, time_diff_max_vs_avg, ratio_hint_time, ratio_redo_success, PCA_Hints, Comp_Joyous_Exploration, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.7
123,MutualInfo_p90,8,KNN_Regressor,1.0435,1.0912,0.8777,0.0247,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, humility_challenging, boldness_score, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration",0.5
124,MutualInfo_p70,24,SVR_Linear,1.0333,1.0916,0.8667,0.0241,"{'model__epsilon': 0.5, 'model__C': 1.0}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, exploration_efficiency, frustration_breakdown_ratio, stubborn_failure_magnitude, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.9
125,RF_Importance_p80,16,Ridge,1.0191,1.092,0.8683,0.0234,{'model__alpha': 100.0},"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.5
126,Spearman_gt0.15,25,RandomForest,1.0302,1.0921,0.8759,0.0231,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, boldness_score, stagnation_ratio, stubbornness_index, hint_reliance_ratio, carefulness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",7.2
